Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2024-12-05,0.00001505,0.15974302,0.31303144,0.12032784,0.00001505,0.00001505,0.33152261,0.07531488,0.00001505
2024-12-06,0.00001505,0.15891955,0.31406120,0.11829677,0.00001505,0.00001505,0.33147070,0.07719158,0.00001505
2024-12-09,0.00001519,0.16304255,0.31255250,0.11858546,0.00001510,0.00001522,0.32814181,0.07761661,0.00001555
2024-12-10,0.00001518,0.16359793,0.31110916,0.11761121,0.00001506,0.00001518,0.33042034,0.07720020,0.00001574
2024-12-11,0.00001514,0.16226883,0.31103972,0.11700840,0.00001502,0.00001502,0.33086629,0.07875603,0.00001556
2024-12-12,0.00001523,0.16426506,0.31042900,0.11653605,0.00001510,0.00001507,0.32990058,0.07880825,0.00001564
2024-12-13,0.00001524,0.16446337,0.30854618,0.11723375,0.00001504,0.00001512,0.33136635,0.07832933,0.00001562
2024-12-16,0.00001518,0.16569492,0.30679236,0.11542635,0.00001508,0.00001508,0.33214860,0.07987690,0.00001553
2024-12-17,0.00001517,0.16721529,0.30506566,0.11454001,0.00001516,0.00001534,0.33389421,0.07922379,0.00001538
2024-12-18,0.00001559,0.16813405,0.30294929,0.11484069,0.00001535,0.00001558,0.33635472,0.07765937,0.00001536
2024-12-19,0.00001553,0.16867251,0.30519564,0.11318920,0.00001519,0.00001540,0.33454416,0.07833720,0.00001519
2024-12-20,0.00001539,0.17035523,0.30857364,0.11526279,0.00001511,0.00001536,0.32752264,0.07822441,0.00001543
2024-12-23,0.00001545,0.17152834,0.31077910,0.11702570,0.00001523,0.00001550,0.32203388,0.07857130,0.00001550
2024-12-24,0.00002237,0.10655798,0.26228511,0.11552449,0.01298523,0.00002237,0.49282243,0.00975763,0.00002237
2024-12-26,0.00002238,0.10680111,0.26294898,0.11456668,0.01298463,0.00002238,0.49296765,0.00966381,0.00002238
2024-12-27,0.00002261,0.10646225,0.26348006,0.11531998,0.01311590,0.00002253,0.49193356,0.00962054,0.00002256
2024-12-30,0.00002284,0.10611532,0.26410990,0.11592383,0.01315930,0.00002249,0.49101200,0.00961167,0.00002265
2024-12-31,0.00002287,0.10552274,0.26493286,0.11598261,0.01340437,0.00002272,0.49054615,0.00954285,0.00002283
2025-01-02,0.00002298,0.10321610,0.26644560,0.11637389,0.01343208,0.00002273,0.49084210,0.00962201,0.00002252
2025-01-03,0.00002278,0.10213564,0.26779793,0.11599988,0.01338649,0.00002256,0.49089995,0.00971245,0.00002232
2025-01-06,0.00002274,0.10263689,0.26600752,0.11458256,0.01334728,0.00002244,0.49351549,0.00984267,0.00002241
2025-01-07,0.00002282,0.10181100,0.26947746,0.11366259,0.01351793,0.00002292,0.49182538,0.00963729,0.00002262
2025-01-08,0.00002269,0.10144186,0.26791428,0.11339093,0.01321677,0.00002245,0.49438439,0.00958383,0.00002281
2025-01-10,0.00002285,0.09949661,0.26565659,0.10867335,0.01323506,0.00002285,0.50337594,0.00949389,0.00002285
2025-01-13,0.00002296,0.09891599,0.27169532,0.10848796,0.01363853,0.00002335,0.49767638,0.00951623,0.00002328
2025-01-14,0.00002294,0.09836402,0.27510032,0.11005180,0.01368116,0.00002337,0.49325488,0.00947810,0.00002342
2025-01-15,0.00002265,0.09901852,0.27694270,0.11074003,0.01372679,0.00002311,0.48990554,0.00959726,0.00002342
2025-01-16,0.00002262,0.09491580,0.27874919,0.11394142,0.01368863,0.00002353,0.48916351,0.00947145,0.00002384
2025-01-17,0.00002242,0.09478922,0.28160912,0.11197320,0.01369003,0.00002321,0.48825649,0.00961272,0.00002360
2025-01-21,0.00002228,0.09108297,0.28369332,0.11128359,0.01348560,0.00002321,0.49064222,0.00974282,0.00002399
2025-01-22,0.00002237,0.09181659,0.28425235,0.10786668,0.01328661,0.00002282,0.49275742,0.00995115,0.00002399
2025-01-23,0.00002234,0.09105323,0.28544139,0.10820785,0.01326080,0.00002286,0.49207436,0.00989315,0.00002400
2025-01-24,0.00002237,0.08989872,0.28175448,0.11283529,0.01296658,0.00002269,0.49269363,0.00978255,0.00002369
2025-01-27,0.00002255,0.09098932,0.27744292,0.11220630,0.01289641,0.00002318,0.49677598,0.00961955,0.00002380
2025-01-28,0.00002497,0.15928601,0.19113213,0.07061690,0.00938096,0.00002497,0.54996593,0.01954317,0.00002497
2025-01-29,0.00002498,0.15972773,0.19038145,0.07083705,0.00941835,0.00002505,0.55014158,0.01941884,0.00002498
2025-01-30,0.00002510,0.15747959,0.19027066,0.07076725,0.00943244,0.00002516,0.55288425,0.01909045,0.00002510
2025-01-31,0.00002521,0.15708395,0.19040885,0.07132417,0.00923527,0.00002515,0.55245317,0.01941915,0.00002508
2025-02-03,0.00002539,0.15152429,0.18975748,0.07070322,0.00924302,0.00002539,0.55932876,0.01936706,0.00002539
2025-02-04,0.00002544,0.15311796,0.18860320,0.06884415,0.00939322,0.00002544,0.56042248,0.01954268,0.00002544
2025-02-05,0.00002562,0.15142246,0.18851527,0.06749571,0.00929562,0.00002562,0.56431131,0.01888278,0.00002562
2025-02-06,0.00002553,0.15080921,0.19162554,0.06707396,0.00910643,0.00002553,0.56235103,0.01895697,0.00002579
2025-02-07,0.00002593,0.14949208,0.19384347,0.06713751,0.00928781,0.00002586,0.56168870,0.01847253,0.00002611
2025-02-10,0.00002573,0.14839829,0.18887992,0.06796158,0.00938482,0.00002583,0.56666316,0.01863454,0.00002613
2025-02-11,0.00002562,0.15101015,0.19083897,0.06829190,0.00940492,0.00002604,0.56184917,0.01852713,0.00002610
2025-02-12,0.00002559,0.15259091,0.18969352,0.06675686,0.00905206,0.00002570,0.56374687,0.01808265,0.00002584
2025-02-13,0.00002567,0.15390583,0.18822939,0.06538491,0.00901897,0.00002574,0.56538453,0.01799909,0.00002587
2025-02-14,0.00002577,0.15647756,0.18915732,0.06512639,0.00906379,0.00002566,0.56215980,0.01793760,0.00002610
2025-02-18,0.00002574,0.15620211,0.19121984,0.06546683,0.00921156,0.00002565,0.56006550,0.01775651,0.00002626
2025-02-19,0.00002570,0.15622147,0.19045370,0.06590240,0.00921101,0.00002609,0.56040537,0.01772814,0.00002613
2025-02-20,0.00002687,0.16398132,0.19025516,0.06998336,0.00977922,0.00002758,0.54768944,0.01822935,0.00002770
2025-02-21,0.00002728,0.16627126,0.19127885,0.07250009,0.00981098,0.00002846,0.54207310,0.01798193,0.00002805
2025-02-24,0.00002751,0.16874809,0.19079327,0.07232176,0.00994651,0.00002896,0.54029439,0.01781126,0.00002825
2025-02-25,0.00002695,0.16529681,0.18411823,0.07134021,0.00961057,0.00002878,0.55209171,0.01745860,0.00002814
2025-02-26,0.00002728,0.16279101,0.18737291,0.07193783,0.00970399,0.00002860,0.55030967,0.01780050,0.00002819
2025-02-27,0.00002561,0.10560872,0.23880723,0.07130899,0.00136010,0.00002561,0.56410223,0.01873590,0.00002561
2025-02-28,0.00002559,0.10556749,0.23929622,0.07132228,0.00134834,0.00002559,0.56370024,0.01868865,0.00002559
2025-03-03,0.00002586,0.10499059,0.23811584,0.07355712,0.00131874,0.00002621,0.56370153,0.01823819,0.00002591
2025-03-04,0.00002656,0.10689023,0.23485008,0.07474228,0.00135179,0.00002663,0.56346439,0.01862198,0.00002606
2025-03-05,0.00002637,0.10605032,0.23438531,0.07382720,0.00131604,0.00002639,0.56543772,0.01890428,0.00002637
2025-03-06,0.00002675,0.10735689,0.23297099,0.07436771,0.00136216,0.00002688,0.56539580,0.01846575,0.00002708
2025-03-07,0.00002721,0.11093608,0.23287728,0.07869184,0.00140358,0.00002748,0.55736156,0.01864717,0.00002780
2025-03-10,0.00002821,0.10944933,0.23143623,0.08532347,0.00149243,0.00002867,0.55333552,0.01887755,0.00002858
2025-03-11,0.00002852,0.10742362,0.23087919,0.08384967,0.00147323,0.00002866,0.55700286,0.01928637,0.00002788
2025-03-12,0.00002905,0.10752761,0.23394103,0.08414310,0.00150047,0.00002867,0.55292358,0.01987834,0.00002813
2025-03-13,0.00002940,0.10513667,0.23388813,0.08491461,0.00151179,0.00002904,0.55485453,0.01960738,0.00002846
2025-03-14,0.00002892,0.10531618,0.23751463,0.08448351,0.00153155,0.00002853,0.55137403,0.01969428,0.00002837
2025-03-17,0.00002853,0.10415574,0.23583990,0.08172155,0.00153618,0.00002816,0.55744770,0.01921392,0.00002830
2025-03-18,0.00002892,0.10492347,0.24010429,0.08121133,0.00155539,0.00002879,0.55293469,0.01918424,0.00002888
2025-03-19,0.00002863,0.10509542,0.24183571,0.08015333,0.00156346,0.00002827,0.55201104,0.01925588,0.00002825
2025-03-20,0.00002872,0.10488442,0.24253382,0.08115977,0.00157529,0.00002837,0.55050011,0.01926126,0.00002823
2025-03-21,0.00002852,0.10617156,0.24345962,0.08028039,0.00155876,0.00002828,0.54919655,0.01924874,0.00002758
2025-03-24,0.00002804,0.10556316,0.24573652,0.07802877,0.00153654,0.00002774,0.54944681,0.01960514,0.00002728
2025-03-25,0.00002844,0.10853369,0.25232605,0.07747008,0.00156909,0.00002775,0.53989419,0.02012445,0.00002627
2025-03-26,0.00002837,0.10718337,0.25158365,0.07855724,0.00158764,0.00002780,0.54137916,0.01962632,0.00002645
2025-03-27,0.00002833,0.10817280,0.24836170,0.07879827,0.00158060,0.00002801,0.54337925,0.01962462,0.00002642
2025-03-28,0.00002046,0.17057225,0.21022462,0.16853726,0.00002046,0.00002046,0.45056360,0.00002046,0.00002046
2025-03-31,0.00002067,0.17039763,0.20808854,0.16619007,0.00002067,0.00002067,0.45522042,0.00002067,0.00002067
2025-04-01,0.00002081,0.17037826,0.20569226,0.16545195,0.00002081,0.00002081,0.45837348,0.00002081,0.00002081
2025-04-02,0.00002090,0.16987105,0.20625107,0.16342346,0.00002090,0.00002097,0.46034965,0.00002110,0.00002090
2025-04-03,0.00002175,0.16043059,0.19967622,0.17407032,0.00002114,0.00002245,0.46571524,0.00002114,0.00002114
2025-04-04,0.00002316,0.15839654,0.19672971,0.17193553,0.00002147,0.00002292,0.47282711,0.00002158,0.00002197
2025-04-07,0.00002323,0.15304368,0.20123401,0.16769194,0.00002170,0.00002260,0.47791895,0.00002219,0.00002170
2025-04-08,0.00002369,0.14829996,0.20754581,0.16851668,0.00002166,0.00002295,0.47552563,0.00002203,0.00002159
2025-04-09,0.00002166,0.15633877,0.20499753,0.16237646,0.00002162,0.00002162,0.47617817,0.00002255,0.00002162
2025-04-10,0.00002208,0.15116993,0.20060892,0.16187234,0.00002208,0.00002208,0.48623843,0.00002208,0.00002208
2025-04-11,0.00002209,0.15366276,0.20380533,0.15596607,0.00002226,0.00002209,0.48645524,0.00002209,0.00002209
2025-04-14,0.00002217,0.15447402,0.19920427,0.15778866,0.00002217,0.00002217,0.48842218,0.00002217,0.00002217
2025-04-15,0.00002230,0.15505685,0.19897475,0.15861142,0.00002224,0.00002219,0.48724601,0.00002212,0.00002212
2025-04-16,0.00002295,0.15334305,0.20165557,0.15833997,0.00002312,0.00002288,0.48654814,0.00002210,0.00002222
2025-04-17,0.00002257,0.15293536,0.20038259,0.15733614,0.00002334,0.00002303,0.48923240,0.00002221,0.00002237
2025-04-21,0.00002288,0.15204504,0.20055461,0.15559253,0.00002332,0.00002326,0.49169340,0.00002232,0.00002264
2025-04-22,0.00002227,0.15284404,0.20058637,0.15584115,0.00002330,0.00002273,0.49061540,0.00002246,0.00002227
2025-04-23,0.00002207,0.15497210,0.20300640,0.15571590,0.00002287,0.00002217,0.48619317,0.00002319,0.00002213
2025-04-24,0.00002209,0.15651261,0.20445734,0.15230661,0.00002294,0.00002209,0.48661023,0.00002375,0.00002233
2025-04-25,0.00002219,0.15792771,0.20449366,0.15241583,0.00002304,0.00002214,0.48504905,0.00002417,0.00002221
2025-04-28,0.00002217,0.15837625,0.20395846,0.15245350,0.00002302,0.00002223,0.48509838,0.00002398,0.00002202
2025-04-29,0.00002129,0.22178967,0.12076992,0.13520039,0.05321989,0.00002129,0.46893497,0.00002129,0.00002129
2025-04-30,0.00002145,0.22199457,0.12014766,0.13376375,0.05161177,0.00002145,0.47239646,0.00002145,0.00002145
2025-05-01,0.00002146,0.22259236,0.12112176,0.13195027,0.05162504,0.00002146,0.47262410,0.00002209,0.00002146
2025-05-02,0.00002168,0.21358588,0.12347995,0.13359630,0.05166797,0.00002168,0.47758274,0.00002200,0.00002179
2025-05-05,0.00002197,0.20838616,0.12441150,0.13259166,0.05060673,0.00002197,0.48391608,0.00002197,0.00002197
2025-05-06,0.00002206,0.20887381,0.12330389,0.13404272,0.05153092,0.00002199,0.48216082,0.00002190,0.00002189
2025-05-07,0.00002205,0.20635864,0.12329120,0.13560445,0.05144751,0.00002238,0.48320951,0.00002233,0.00002194
2025-05-08,0.00002207,0.20784386,0.12541767,0.13765718,0.05221110,0.00002216,0.47678055,0.00002275,0.00002266
2025-05-09,0.00002200,0.20827377,0.12482636,0.14121614,0.05265344,0.00002189,0.47294127,0.00002279,0.00002234
2025-05-12,0.00002164,0.21785232,0.12619435,0.13771218,0.05269686,0.00002152,0.46545370,0.00002423,0.00002320
2025-05-13,0.00002155,0.21910239,0.12707304,0.14187159,0.05261077,0.00002085,0.45925259,0.00002444,0.00002277
2025-05-14,0.00002144,0.21742178,0.12771917,0.14133783,0.05188602,0.00002095,0.46154599,0.00002419,0.00002263
2025-05-15,0.00002138,0.21590596,0.12824348,0.14554399,0.05226337,0.00002136,0.45795420,0.00002354,0.00002272
2025-05-16,0.00002118,0.21367899,0.12706811,0.14504259,0.05158486,0.00002140,0.46253678,0.00002337,0.00002273
2025-05-19,0.00002134,0.21273866,0.12672942,0.14389859,0.05114173,0.00002172,0.46540216,0.00002361,0.00002276
2025-05-20,0.00002140,0.21136359,0.12746277,0.14536996,0.05055064,0.00002195,0.46516379,0.00002343,0.00002247
2025-05-21,0.00002183,0.21067053,0.12777236,0.14259280,0.05094022,0.00002233,0.46793385,0.00002356,0.00002252
2025-05-22,0.00002212,0.21264752,0.12925551,0.13516451,0.05126117,0.00002253,0.47157945,0.00002410,0.00002308
2025-05-23,0.00002218,0.20677673,0.12962676,0.13719214,0.05143046,0.00002264,0.47488242,0.00002392,0.00002276
2025-05-27,0.00002186,0.20899137,0.13002723,0.13579902,0.05093982,0.00002256,0.47415102,0.00002417,0.00002295
2025-05-28,0.00002196,0.21019134,0.12975038,0.13477128,0.05048155,0.00002254,0.47471395,0.00002413,0.00002287
2025-05-29,0.00003586,0.00003586,0.11202731,0.00003586,0.00003586,0.09791085,0.78984668,0.00003586,0.00003586
2025-05-30,0.00003595,0.00003595,0.11031900,0.00003621,0.00003595,0.09757769,0.79188735,0.00003595,0.00003595
2025-06-02,0.00003602,0.00003602,0.10962790,0.00003602,0.00003602,0.09684299,0.79331301,0.00003602,0.00003602
2025-06-03,0.00003603,0.00003623,0.11010460,0.00003636,0.00003622,0.09606633,0.79361198,0.00003603,0.00003622
2025-06-04,0.00003627,0.00003639,0.10998231,0.00003605,0.00003604,0.09595267,0.79384709,0.00003654,0.00003664
2025-06-05,0.00003670,0.00003643,0.11033678,0.00003733,0.00003630,0.09737492,0.79206801,0.00003709,0.00003644
2025-06-06,0.00003676,0.00003708,0.11209690,0.00003773,0.00003723,0.09839051,0.78928862,0.00003816,0.00003701
2025-06-09,0.00003674,0.00003662,0.11247889,0.00003758,0.00003746,0.09847887,0.78881769,0.00003875,0.00003740
2025-06-10,0.00003672,0.00003682,0.11320564,0.00003804,0.00003825,0.09920237,0.78736475,0.00003885,0.00003857
2025-06-11,0.00003722,0.00003660,0.11453268,0.00003865,0.00003952,0.09976904,0.78546913,0.00003857,0.00003859
2025-06-12,0.00003748,0.00003694,0.11538046,0.00003937,0.00003995,0.10137979,0.78300840,0.00003885,0.00003877
2025-06-13,0.00003764,0.00003659,0.11446327,0.00004004,0.00004100,0.10210875,0.78319532,0.00003881,0.00003858
2025-06-16,0.00003765,0.00003696,0.11681537,0.00003951,0.00004113,0.10089969,0.78205114,0.00003955,0.00003901
2025-06-17,0.00003774,0.00003653,0.11674930,0.00003858,0.00004180,0.09930606,0.78371201,0.00003942,0.00003856
2025-06-18,0.00003745,0.00003642,0.11775039,0.00003813,0.00004118,0.09746741,0.78455225,0.00003869,0.00003808
2025-06-20,0.00003714,0.00003693,0.11721998,0.00003779,0.00004138,0.09605860,0.78649253,0.00003786,0.00003779
2025-06-23,0.00003653,0.00003642,0.11666633,0.00003676,0.00003965,0.09544650,0.78766320,0.00003702,0.00003759
2025-06-24,0.00003643,0.00003610,0.11758497,0.00003700,0.00003833,0.09572259,0.78646934,0.00003768,0.00003757
2025-06-25,0.00003660,0.00003650,0.11931780,0.00003662,0.00003853,0.09623269,0.78422627,0.00003772,0.00003728
2025-06-26,0.00003690,0.00003670,0.12229023,0.00003727,0.00003943,0.09685598,0.78062650,0.00003895,0.00003805
2025-06-27,0.00003655,0.00003636,0.12042468,0.00003685,0.00003883,0.09617567,0.78317349,0.00003967,0.00003790
2025-06-30,0.00003000,0.00003000,0.18520635,0.00003000,0.00003000,0.15377187,0.66084176,0.00003000,0.00003000
2025-07-01,0.00002994,0.00003019,0.18430508,0.00003137,0.00003020,0.15593033,0.65958210,0.00002995,0.00003085
2025-07-02,0.00003005,0.00003097,0.18597985,0.00003146,0.00003081,0.15612913,0.65770646,0.00002998,0.00003127
2025-07-03,0.00002982,0.00003086,0.18775311,0.00003155,0.00003086,0.15518997,0.65687306,0.00003019,0.00003058
2025-07-07,0.00003002,0.00003024,0.18458435,0.00003182,0.00003046,0.15394300,0.66129001,0.00003010,0.00003002
