Date,CASH,AAPL,JPM,NEE,XOM,JNJ,WMT,AMZN,UPS
2024-12-10,0.10459323,0.11419837,0.11660893,0.09743393,0.10000298,0.09630704,0.13007089,0.13411774,0.10666689
2024-12-11,0.10459760,0.11361318,0.11693551,0.09722771,0.09934144,0.09463950,0.13064037,0.13723444,0.10577026
2024-12-12,0.10498699,0.11471620,0.11640691,0.09658713,0.09962216,0.09473270,0.12992536,0.13697363,0.10604891
2024-12-13,0.10513016,0.11495141,0.11579831,0.09724722,0.09888373,0.09510838,0.13061251,0.13625589,0.10601239
2024-12-16,0.10511651,0.11628441,0.11560956,0.09613836,0.09675682,0.09329945,0.13145465,0.13951448,0.10582576
2024-12-17,0.10513878,0.11743953,0.11504523,0.09547177,0.09636691,0.09497998,0.13224475,0.13847766,0.10483539
2024-12-18,0.10761624,0.11763180,0.11380883,0.09535517,0.09718563,0.09611579,0.13270821,0.13522243,0.10435589
2024-12-19,0.10761815,0.11845904,0.11509041,0.09434270,0.09635632,0.09534058,0.13249775,0.13692341,0.10337164
2024-12-20,0.10656129,0.11950274,0.11622999,0.09596015,0.09573560,0.09498946,0.12956714,0.13656848,0.10488515
2024-12-23,0.10653423,0.11983856,0.11658683,0.09703342,0.09610003,0.09549120,0.12688008,0.13661876,0.10491690
2024-12-24,0.10543286,0.11996096,0.11727882,0.09658667,0.09519599,0.09488131,0.12880661,0.13760340,0.10425337
2024-12-26,0.10553776,0.12046164,0.11779762,0.09596669,0.09537130,0.09479989,0.12908779,0.13653760,0.10443973
2024-12-27,0.10628297,0.11970578,0.11766824,0.09629710,0.09603571,0.09512170,0.12841616,0.13550323,0.10496911
2024-12-30,0.10718297,0.11911830,0.11775437,0.09664119,0.09619407,0.09479631,0.12796355,0.13515438,0.10519486
2024-12-31,0.10708369,0.11816803,0.11783702,0.09645750,0.09774973,0.09555423,0.12753447,0.13386378,0.10575155
2025-01-02,0.10768195,0.11571065,0.11863871,0.09688814,0.09805825,0.09568943,0.12775018,0.13512092,0.10446177
2025-01-03,0.10704033,0.11479006,0.11954356,0.09682192,0.09797357,0.09523154,0.12808957,0.13673717,0.10377228
2025-01-06,0.10681835,0.11532397,0.11871402,0.09561451,0.09766161,0.09468474,0.12873917,0.13853519,0.10390844
2025-01-07,0.10705644,0.11426481,0.12012470,0.09473807,0.09879685,0.09659341,0.12815118,0.13548893,0.10478562
2025-01-08,0.10714716,0.11459300,0.12020674,0.09512800,0.09722575,0.09405726,0.12965805,0.13561596,0.10636808
2025-01-10,0.10849863,0.11324142,0.12009079,0.09185636,0.09809298,0.09510304,0.13300971,0.13535436,0.10475271
2025-01-13,0.10810458,0.11166302,0.12181958,0.09095227,0.10025950,0.09636516,0.13043188,0.13456711,0.10583692
2025-01-14,0.10785905,0.11087708,0.12316539,0.09212803,0.10042538,0.09633265,0.12908350,0.13383127,0.10629766
2025-01-15,0.10639454,0.11152357,0.12388886,0.09262838,0.10067792,0.09516906,0.12810216,0.13540299,0.10621251
2025-01-16,0.10626113,0.10688382,0.12467495,0.09528933,0.10038034,0.09688557,0.12788552,0.13360448,0.10813486
2025-01-17,0.10555143,0.10696997,0.12622393,0.09384393,0.10060564,0.09575651,0.12792186,0.13588771,0.10723903
2025-01-21,0.10496271,0.10297835,0.12739427,0.09343918,0.09928739,0.09594779,0.12878564,0.13798262,0.10922205
2025-01-22,0.10535579,0.10391648,0.12777898,0.09066501,0.09792477,0.09443493,0.12947629,0.14108072,0.10936704
2025-01-23,0.10474995,0.10324043,0.12854745,0.09111761,0.09791278,0.09477734,0.12953256,0.14051416,0.10960772
2025-01-24,0.10442799,0.10251815,0.12761748,0.09556115,0.09629145,0.09460202,0.13044216,0.13974311,0.10879649
2025-01-27,0.10269036,0.10401616,0.12597258,0.09526134,0.09600506,0.09687396,0.13184532,0.13775138,0.10958383
2025-01-28,0.10294837,0.10808820,0.12690187,0.09124501,0.09438547,0.09552297,0.13202730,0.13969890,0.10918190
2025-01-29,0.10294277,0.10858131,0.12662895,0.09169276,0.09493068,0.09600684,0.13230508,0.13905782,0.10785380
2025-01-30,0.10426654,0.10916435,0.12905119,0.09340900,0.09694774,0.09834799,0.13558700,0.13940231,0.09382388
2025-01-31,0.10459490,0.10877529,0.12900876,0.09404484,0.09482108,0.09819305,0.13533844,0.14165311,0.09357053
2025-02-03,0.10514163,0.10564192,0.12944538,0.09386269,0.09554869,0.09852465,0.13795849,0.14223778,0.09163877
2025-02-04,0.10412745,0.10682082,0.12873969,0.09145272,0.09716304,0.09861515,0.13831606,0.14361879,0.09114627
2025-02-05,0.10415240,0.10669497,0.12996722,0.09055859,0.09711562,0.09940993,0.14066942,0.14015771,0.09127415
2025-02-06,0.10364453,0.10651723,0.13242778,0.09020816,0.09536676,0.09817057,0.14051633,0.14104520,0.09210344
2025-02-07,0.10496263,0.10528632,0.13357914,0.09003654,0.09698931,0.09916647,0.13995123,0.13704953,0.09297883
2025-02-10,0.10413145,0.10457659,0.13023421,0.09119455,0.09805929,0.09910081,0.14127256,0.13833170,0.09309885
2025-02-11,0.10347986,0.10619102,0.13130535,0.09144305,0.09806038,0.09968744,0.13977473,0.13724204,0.09281614
2025-02-12,0.10385721,0.10852545,0.13200464,0.09040630,0.09545687,0.09949345,0.14184510,0.13547597,0.09293500
2025-02-13,0.10307595,0.10982806,0.13142543,0.08884554,0.09542718,0.10001065,0.14273466,0.13530262,0.09334991
2025-02-14,0.10324881,0.11141058,0.13177445,0.08829400,0.09568445,0.09947760,0.14159941,0.13453527,0.09397544
2025-02-18,0.10294161,0.11102006,0.13297842,0.08860041,0.09707437,0.09923285,0.14082529,0.13294427,0.09438273
